Shape,Area,MainArea,Age,TopSchool,Parking,Balcony,LowStruct,DisTrict,Money,Room,LivingRoom,Bathroom,Floor_min,Floor_max
電梯大樓,23.78,12.17,2.0,0.0,0.0,1.0,0.0,三民區,748.0,2.0,2.0,1.0,3,14
公寓,25.44,21.73,39.0,0.0,0.0,0.0,0.0,鼓山區,998.0,3.0,2.0,2.0,1,5
電梯大樓,43.49,18.65,2.0,0.0,1.0,1.0,0.0,楠梓區,1558.0,3.0,2.0,2.0,4,22
電梯大樓,43.03,27.51,24.0,0.0,0.0,0.0,1.0,鼓山區,1268.0,4.0,2.0,2.0,10,21
電梯大樓,44.72,32.41,34.0,0.0,0.0,0.0,0.0,三民區,988.0,4.0,2.0,2.0,3,13
別墅,95.23,88.55,17.0,0.0,0.0,0.0,0.0,鼓山區,3600.0,5.0,3.0,5.0,All,5
透天厝,20.91,20.91,46.0,0.0,0.0,1.0,0.0,三民區,1688.0,5.0,2.0,3.0,All,2
電梯大樓,30.02,13.4,3.0,0.0,1.0,1.0,0.0,三民區,1198.0,2.0,1.0,1.0,20,22
電梯大樓,38.2,16.4,0.0833333333333333,1.0,1.0,1.0,0.0,鼓山區,1580.0,1.0,1.0,2.0,16,24
電梯大樓,42.45,27.11,23.0,0.0,0.0,1.0,1.0,鼓山區,1298.0,4.0,2.0,2.0,6,13
電梯大樓,28.1,14.46,28.0,0.0,0.0,0.0,0.0,鼓山區,898.0,2.0,1.0,1.0,2,10
電梯大樓,37.29,23.97,18.0,0.0,0.0,1.0,0.0,鼓山區,1260.0,2.0,2.0,2.0,11,14
電梯大樓,39.94,18.65,19.0,0.0,1.0,1.0,1.0,鼓山區,1498.0,2.0,2.0,1.0,13,14
電梯大樓,24.07,14.8,18.0,1.0,0.0,1.0,0.0,鼓山區,898.0,2.0,1.0,1.0,6,15
電梯大樓,58.01,25.06,0.6666666666666666,0.0,0.0,0.0,0.0,鼓山區,2860.0,3.0,2.0,2.0,13,15
電梯大樓,50.44,28.83,17.0,1.0,1.0,1.0,0.0,楠梓區,1785.0,3.0,2.0,2.0,15,15
電梯大樓,50.0,25.53,22.0,0.0,1.0,1.0,0.0,鼓山區,1750.0,4.0,2.0,2.0,7,14
電梯大樓,42.55,20.69,11.0,0.0,1.0,0.0,0.0,苓雅區,1280.0,3.0,2.0,2.0,10,11
電梯大樓,83.6,46.43,11.0,0.0,1.0,0.0,0.0,三民區,3280.0,3.0,2.0,3.0,14,26
電梯大樓,46.35,37.29,37.0,0.0,0.0,0.0,0.0,三民區,1080.0,4.0,2.0,3.0,9,12
電梯大樓,60.61,29.89,10.0,0.0,1.0,1.0,0.0,鼓山區,2198.0,3.0,2.0,2.0,2,15
電梯大樓,92.19,49.82,18.0,1.0,1.0,1.0,0.0,三民區,3388.0,4.0,2.0,2.0,7,25
透天厝,65.53,60.78,28.0,0.0,0.0,0.0,0.0,前鎮區,1098.0,5.0,2.0,3.0,All,5
電梯大樓,106.31,68.3,24.0,0.0,0.0,0.0,0.0,鼓山區,2388.0,6.0,2.0,3.0,12,14
